ULTRAPNG PIPELINE V6.0 — RUN REPORT
============================================================
Date       : 2026-03-27 08:15 IST
Batch      : 5 -> 805
Generated  : 800
Deleted    : 0
Approved   : 800
Transparent: 800
Uploaded   : 800
Posts      : 800
Duration   : 11.3h
Status     : SUCCESS
============================================================

FULL LOG
============================================================
[20:57:49] Manual drop: no PNG files found
[20:57:49] Loading prompts...
[20:57:50] Loaded 7972 prompts
[20:57:50] Batch: 800 prompts

[20:57:50] Building skip-set from REPO2 JSON files...
[20:57:50]   Skip-set (REPO2): 10 already-done filenames
[20:57:51]   Skip-set (ultradata): 10 already-generated filenames
[20:57:51]   Combined skip-set: 10 filenames total

[20:57:51] ========================================================
[20:57:51] PHASE 1: FLUX.2-Klein-4B — Image Generation
[20:57:51]   Loading from HuggingFace: black-forest-labs/FLUX.2-klein-4B
[20:57:51] ========================================================
[20:58:19]   Loading: black-forest-labs/FLUX.2-klein-4B
[20:58:19]   (First run: downloads ~8GB — ~5 min)
[20:59:22] FLUX.2 loaded | Batch: 800 | Skip: 10
[23:36:48]   [215/800] OK img_001425.png | ayurvedic_herbal | ETA 428min
[23:37:31]   [216/800] OK img_001443.png | ayurvedic_herbal | ETA 428min
[23:38:15]   [217/800] OK img_001447.png | ayurvedic_herbal | ETA 427min
[23:38:58]   [218/800] OK img_001476.png | ayurvedic_herbal | ETA 426min
[23:39:42]   [219/800] OK img_001508.png | ayurvedic_herbal | ETA 425min
[23:40:25]   [220/800] OK img_001526.png | ayurvedic_herbal | ETA 425min
[23:41:09]   [221/800] OK img_001534.png | ayurvedic_herbal | ETA 424min
[23:41:52]   [222/800] OK img_001555.png | ayurvedic_herbal | ETA 423min
[23:42:36]   [223/800] OK img_001594.png | ayurvedic_herbal | ETA 422min
[23:43:20]   [224/800] OK img_001707.png | ayurvedic_herbal | ETA 422min
[23:44:03]   [225/800] OK img_001733.png | ayurvedic_herbal | ETA 421min
[23:44:47]   [226/800] OK img_001736.png | ayurvedic_herbal | ETA 420min
[23:45:30]   [227/800] OK img_001769.png | ayurvedic_herbal | ETA 419min
[23:46:14]   [228/800] OK img_001781.png | ayurvedic_herbal | ETA 419min
[23:46:58]   [229/800] OK img_001788.png | ayurvedic_herbal | ETA 418min
[23:47:41]   [230/800] OK img_001809.png | ayurvedic_herbal | ETA 417min
[23:48:25]   [231/800] OK img_001909.png | ayurvedic_herbal | ETA 416min
[23:49:08]   [232/800] OK img_001918.png | ayurvedic_herbal | ETA 416min
[23:49:52]   [233/800] OK img_001923.png | ayurvedic_herbal | ETA 415min
[23:50:35]   [234/800] OK img_001948.png | ayurvedic_herbal | ETA 414min
[23:51:19]   [235/800] OK img_001960.png | ayurvedic_herbal | ETA 413min
[23:52:02]   [236/800] OK img_001967.png | ayurvedic_herbal | ETA 413min
[23:52:46]   [237/800] OK img_001974.png | ayurvedic_herbal | ETA 412min
[23:53:30]   [238/800] OK img_002023.png | ayurvedic_herbal | ETA 411min
[23:54:13]   [239/800] OK img_002035.png | ayurvedic_herbal | ETA 410min
[23:54:57]   [240/800] OK img_002084.png | ayurvedic_herbal | ETA 410min
[23:55:40]   [241/800] OK img_002126.png | ayurvedic_herbal | ETA 409min
[23:56:24]   [242/800] OK img_002236.png | ayurvedic_herbal | ETA 408min
[23:57:07]   [243/800] OK img_002275.png | ayurvedic_herbal | ETA 407min
[23:57:51]   [244/800] OK img_002331.png | ayurvedic_herbal | ETA 407min
[23:58:34]   [245/800] OK img_002332.png | ayurvedic_herbal | ETA 406min
[23:59:17]   [246/800] OK img_002372.png | ayurvedic_herbal | ETA 405min
[00:00:01]   [247/800] OK img_002376.png | ayurvedic_herbal | ETA 404min
[00:00:44]   [248/800] OK img_002419.png | ayurvedic_herbal | ETA 404min
[00:01:27]   [249/800] OK img_002452.png | ayurvedic_herbal | ETA 403min
[00:02:11]   [250/800] OK img_002453.png | ayurvedic_herbal | ETA 402min
[00:02:54]   [251/800] OK img_002535.png | ayurvedic_herbal | ETA 401min
[00:03:38]   [252/800] OK img_002540.png | ayurvedic_herbal | ETA 401min
[00:04:21]   [253/800] OK img_002568.png | ayurvedic_herbal | ETA 400min
[00:05:05]   [254/800] OK img_002579.png | ayurvedic_herbal | ETA 399min
[00:05:49]   [255/800] OK img_002601.png | ayurvedic_herbal | ETA 398min
[00:06:32]   [256/800] OK img_002605.png | ayurvedic_herbal | ETA 398min
[00:07:16]   [257/800] OK img_002611.png | ayurvedic_herbal | ETA 397min
[00:07:59]   [258/800] OK img_002662.png | ayurvedic_herbal | ETA 396min
[00:08:43]   [259/800] OK img_002722.png | ayurvedic_herbal | ETA 396min
[00:09:26]   [260/800] OK img_002737.png | ayurvedic_herbal | ETA 395min
[00:10:09]   [261/800] OK img_002742.png | ayurvedic_herbal | ETA 394min
[00:10:52]   [262/800] OK img_002798.png | ayurvedic_herbal | ETA 393min
[00:11:36]   [263/800] OK img_002799.png | ayurvedic_herbal | ETA 393min
[00:12:19]   [264/800] OK img_002813.png | ayurvedic_herbal | ETA 392min
[00:13:03]   [265/800] OK img_002874.png | ayurvedic_herbal | ETA 391min
